日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/12/25,"2,635,415","99,741,169",37.90,38.00,37.70,38.00,+0.25,"1,428"
108/12/26,"5,563,243","208,864,557",38.00,38.05,37.40,37.45,-0.55,"2,622"
108/12/27,"3,403,956","127,493,688",37.60,37.65,37.35,37.45, 0.00,"1,824"
108/12/30,"6,518,726","246,476,649",37.55,38.15,37.40,37.95,+0.50,"2,776"
108/12/31,"4,622,157","173,578,434",37.60,37.85,37.40,37.55,-0.40,"2,026"
109/01/02,"9,767,496","370,686,288",37.60,38.35,37.40,38.20,+0.65,"4,172"
109/01/03,"23,307,907","883,627,239",38.40,38.65,37.30,37.30,-0.90,"8,793"
109/01/06,"18,959,593","688,467,493",36.60,36.95,35.85,36.05,-1.25,"8,455"
109/01/07,"12,450,821","453,245,265",36.40,36.90,36.05,36.25,+0.20,"4,974"
109/01/08,"9,168,973","330,498,407",35.95,36.30,35.65,36.30,+0.05,"3,832"
109/01/09,"8,133,781","300,170,897",36.75,37.15,36.50,37.00,+0.70,"4,021"
109/01/10,"6,129,342","226,309,405",37.30,37.35,36.60,36.80,-0.20,"2,416"
109/01/13,"4,847,587","180,614,996",37.20,37.40,37.00,37.40,+0.60,"2,456"
109/01/14,"8,055,163","301,467,160",37.50,37.75,37.15,37.50,+0.10,"3,803"
109/01/15,"8,231,640","305,276,330",37.70,37.70,36.85,36.90,-0.60,"3,442"
109/01/16,"5,167,233","191,753,533",37.00,37.45,36.90,37.10,+0.20,"2,557"
109/01/17,"7,937,697","291,386,139",36.90,37.25,36.55,36.65,-0.45,"3,921"
109/01/20,"10,439,153","379,364,375",36.50,36.55,36.20,36.30,-0.35,"4,397"
109/01/30,"21,388,339","717,041,137",34.00,34.25,32.80,32.85,-3.45,"9,323"
109/01/31,"14,084,354","460,720,153",32.85,33.60,32.20,32.65,-0.20,"6,282"
109/02/03,"17,652,334","555,588,173",31.80,32.65,30.00,32.30,-0.35,"8,001"
109/02/04,"8,066,332","263,783,384",31.80,33.10,31.80,32.90,+0.60,"3,475"
109/02/05,"7,802,807","258,247,181",33.05,33.45,32.60,32.75,-0.15,"3,799"
109/02/06,"16,540,200","568,727,600",33.55,35.20,33.40,35.10,+2.35,"6,767"
109/02/07,"12,445,765","422,330,169",34.30,34.40,33.50,33.80,-1.30,"6,056"
109/02/10,"5,232,578","176,980,657",33.00,34.30,32.80,33.95,+0.15,"2,981"
109/02/11,"14,734,873","515,776,080",33.95,35.60,33.85,35.60,+1.65,"6,226"
109/02/12,"12,457,672","445,453,042",35.60,36.10,35.20,36.00,+0.40,"4,855"
109/02/13,"9,061,121","326,847,714",36.05,36.40,35.60,36.00, 0.00,"3,756"
109/02/14,"5,365,941","193,332,914",36.00,36.25,35.90,35.95,-0.05,"2,089"
109/02/17,"7,301,618","258,489,995",35.80,35.85,35.05,35.40,-0.55,"3,685"
109/02/18,"8,327,779","290,262,805",34.95,35.40,34.70,34.70,-0.70,"4,118"
109/02/19,"4,666,168","161,554,158",34.80,34.85,34.30,34.70, 0.00,"2,369"
109/02/20,"2,914,816","101,629,373",34.95,35.10,34.65,34.85,+0.15,"1,562"
109/02/21,"3,196,647","110,601,560",34.70,34.85,34.35,34.40,-0.45,"1,583"
109/02/24,"4,981,962","171,753,170",34.05,35.10,33.90,35.10,+0.70,"2,147"
109/02/25,"5,912,782","203,933,543",34.50,34.90,34.10,34.35,-0.75,"2,740"
109/02/26,"6,434,278","218,137,567",33.95,34.05,33.80,33.80,-0.55,"3,381"
109/02/27,"7,269,169","241,425,686",34.00,34.05,32.75,32.75,-1.05,"3,374"
109/03/02,"8,731,782","280,615,347",31.35,32.60,31.30,32.30,-0.45,"4,268"
109/03/03,"5,837,082","196,232,634",33.80,34.00,33.15,33.50,+1.20,"3,009"
109/03/04,"5,667,281","192,214,711",33.40,34.30,33.10,34.05,+0.55,"3,230"
109/03/05,"4,940,521","170,240,186",34.65,34.85,34.25,34.25,+0.20,"2,436"
109/03/06,"9,506,478","327,668,102",34.75,34.80,34.00,34.00,-0.25,"4,476"
109/03/09,"10,001,130","333,787,540",33.55,34.25,32.80,32.80,-1.20,"4,861"
